StoreType,month,bias_units,avg_sales,bias_pct_of_sales
a,6,-18.182186167020888,6747.031635092882,-0.269484228774786
a,7,-70.05549867039305,6919.457833548625,-1.0124420201064406
b,6,-12.77238559524845,10621.935828877005,-0.12024536582611607
b,7,-18.240428748338978,10874.925996204933,-0.1677292218329064
c,6,-84.02250584986133,6648.6163663663665,-1.2637592729054048
c,7,-34.03499274568517,6965.0503003003005,-0.48865394043482707
d,6,-123.63255729518357,6776.613129381772,-1.8244004037819779
d,7,-98.30057911324342,7043.958652210885,-1.3955303255846037
