Model,CV MAPE Mean,CV MAPE Std,Holdout MAPE
Naive,,,20.06624654150742
Rolling Mean,,,24.474405315867234
Same Day Last Week,,,37.63901293072208
Store Median,,,21.919273988839695
SARIMAX,13.97374597584817,6.3090371804747205,24.465944710432304
XGBoost,11.300631447864605,1.395946036665481,9.108662263165392
LightGBM,11.14566872921497,1.1217419099536265,8.980790731806678
Ensemble,,,8.944470664507781
